asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
rizt-wvv4,,,"Ecology, Department of (ECY)",
dqb8-2ba4,,,"Financial Management, Office of (OFM)",
3f4z-3njr,,,"Enterprise Services, Department of (DES)",
axdx-tass,,,"Public Instruction, Office of Superintendent of (OSPI)",
xe77-gktq,cqra-s74n,dataset,"Financial Management, Office of (OFM)","Fish and Wildlife, Department of (DFW)"
nkza-e9rk,,,"Public Instruction, Office of Superintendent of (OSPI)",
dpm3-4juy,,,"Salmon Recovery Office, Governor's (GSRO)",
myzw-97ve,,,Asotin County Library,
wtz4-jqqx,,,"Public Instruction, Office of Superintendent of (OSPI)",
ufgf-8mag,sb4j-ca4h,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
8znw-7y5m,,,"Health, Department of (DOH)",
tkfg-9q2m,,,"Employment Security, Department of (ESD)",
jjbp-c4sc,,,"Public Instruction, Office of Superintendent of (OSPI)",
nbg8-u959,,,"Public Instruction, Office of Superintendent of (OSPI)",
4ksv-2afd,,,"Public Instruction, Office of Superintendent of (OSPI)",
f7kx-qtvc,,,"Public Instruction, Office of Superintendent of (OSPI)",
t537-5ffp,,,"Public Instruction, Office of Superintendent of (OSPI)",
mnce-u864,,,"Ecology, Department of (ECY)",
2dje-iq49,,,"Public Instruction, Office of Superintendent of (OSPI)",
u3e5-g5ig,,,"Secretary of State, Office of the (SECSTATE)",
wmtw-ckd3,,,"Ecology, Department of (ECY)",
x357-u54i,,,"Public Instruction, Office of Superintendent of (OSPI)",
vfzs-3csd,,,"Public Instruction, Office of Superintendent of (OSPI)",
wme5-zpek,,,"Public Instruction, Office of Superintendent of (OSPI)",
mezp-digt,,,"Public Instruction, Office of Superintendent of (OSPI)",
ce3u-thjh,,,"Licensing, Department of (DOL)",
iddq-3wif,,,"Employment Security, Department of (ESD)",
xu2a-gvkg,,,"Public Instruction, Office of Superintendent of (OSPI)",
9rzk-46v9,,,"Fish and Wildlife, Department of (DFW)",
2byz-jnka,,,"Public Instruction, Office of Superintendent of (OSPI)",
vpg5-56qq,,,"Natural Resources, Department of (DNR)",
m2p5-xx2z,,,Recreation and Conservation Office (RCO),
nyuj-yf6n,,,"Public Instruction, Office of Superintendent of (OSPI)",
bdg5-g3nq,,,"Public Instruction, Office of Superintendent of (OSPI)",
wbpv-bcp5,,,Washington State Technology Solutions (CTS),
pcre-dwu7,,,"Public Instruction, Office of Superintendent of (OSPI)",
fqmc-bjkd,,,"Public Instruction, Office of Superintendent of (OSPI)",
9d5b-nkyu,,,"Public Instruction, Office of Superintendent of (OSPI)",
um4v-fmtz,,,"Public Instruction, Office of Superintendent of (OSPI)",
wa6p-va54,,,Other external user,
85d5-hi2j,,,"Public Instruction, Office of Superintendent of (OSPI)",
fzn7-zdym,,,"Public Instruction, Office of Superintendent of (OSPI)",
h3wx-uwm3,,,"Public Instruction, Office of Superintendent of (OSPI)",
dkev-6sm4,,,"Ecology, Department of (ECY)",
q4zm-7qp2,,,"Ecology, Department of (ECY)",
y52w-ehha,,,"Salmon Recovery Office, Governor's (GSRO)",
ue9k-g2at,,,"Public Instruction, Office of Superintendent of (OSPI)",
wxci-nsiy,,,"Public Instruction, Office of Superintendent of (OSPI)",
vb96-kbsk,,,"Public Instruction, Office of Superintendent of (OSPI)",
e48m-zuge,,,Asotin County Library,
4edt-mstx,,,Other external user,
avfy-d3fg,,,"Financial Management, Office of (OFM)",
sfab-vw47,r5ki-dmfz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Criminal Justice Training Commission, Washington State (CJTC)"
cmbn-w6yw,,,"Public Instruction, Office of Superintendent of (OSPI)",
nsdx-u4vv,,,"Ecology, Department of (ECY)",
4xk8-feaq,,,"Labor & Industries, Department of (LNI)",
cxzy-fkvy,,,"Public Instruction, Office of Superintendent of (OSPI)",
797c-3548,,,"Public Instruction, Office of Superintendent of (OSPI)",
g2t7-bz4z,,,"Public Instruction, Office of Superintendent of (OSPI)",
gqeb-v2ux,,,"Public Instruction, Office of Superintendent of (OSPI)",
325m-f48f,,,"Public Instruction, Office of Superintendent of (OSPI)",
stt9-indh,,,Timberland Regional Library,
5r6a-vpuk,,,"Secretary of State, Office of the (SECSTATE)",
6uhb-k8pa,,,"Public Instruction, Office of Superintendent of (OSPI)",
p39z-8dfa,,,"Public Instruction, Office of Superintendent of (OSPI)",
27be-eium,,,"Public Instruction, Office of Superintendent of (OSPI)",
hsh3-58gz,,,"Public Instruction, Office of Superintendent of (OSPI)",
sb7j-b5ht,,,"Attorney General, Office of the (ATG)",
cbur-tamw,,,"Public Instruction, Office of Superintendent of (OSPI)",
mgxt-s5ap,,,"Health, Department of (DOH)",
g6n3-w7wf,,,"Public Instruction, Office of Superintendent of (OSPI)",
j6mp-ww87,,,Timberland Regional Library,
i7mk-r64t,,,"Ecology, Department of (ECY)",
a6ga-ggfp,,,"Public Instruction, Office of Superintendent of (OSPI)",
fuh4-ubve,,,"Public Instruction, Office of Superintendent of (OSPI)",
eyfp-jhtv,,,"Public Instruction, Office of Superintendent of (OSPI)",
2tja-5324,,,"Public Instruction, Office of Superintendent of (OSPI)",
bn4u-fdfv,,,Shoreline School District,
hy6k-9947,,,"Public Instruction, Office of Superintendent of (OSPI)",
t626-faxh,,,"Public Instruction, Office of Superintendent of (OSPI)",
gvx2-5nuw,,,"Public Instruction, Office of Superintendent of (OSPI)",
cxe7-jajh,,,"Health, Department of (DOH)",
y5z2-eqbb,,,"Public Instruction, Office of Superintendent of (OSPI)",
mxs9-6bqe,,,"Health, Department of (DOH)",
v3i9-syww,,,"Public Instruction, Office of Superintendent of (OSPI)",
byzb-upuw,,,"Public Instruction, Office of Superintendent of (OSPI)",
e32m-utv6,,,"Public Instruction, Office of Superintendent of (OSPI)",
x7uw-cssh,,,"Public Instruction, Office of Superintendent of (OSPI)",
4zeu-6w8d,,,"Labor & Industries, Department of (LNI)",
inpk-wqpi,,,"Children, Youth, and Families, Department of (DCYF)",
kufn-smj9,,,"Public Instruction, Office of Superintendent of (OSPI)",
m2h8-fmyy,,,Recreation and Conservation Office (RCO),
wpm4-8ic8,vz5p-qvth,dataset,"Salmon Recovery Office, Governor's (GSRO)","Attorney General, Office of the (ATG)"
3fmg-8cm8,,,"Enterprise Services, Department of (DES)",
6nan-puqf,,,"Public Instruction, Office of Superintendent of (OSPI)",
x2pz-u67c,,,"Public Instruction, Office of Superintendent of (OSPI)",
h2xm-7sa8,,,"Public Instruction, Office of Superintendent of (OSPI)",
j3e3-e6tj,,,Washington State Technology Solutions (CTS),
h5rb-v99y,,,"Public Instruction, Office of Superintendent of (OSPI)",
uw9r-h7dh,,,"Public Instruction, Office of Superintendent of (OSPI)",
v63p-2aub,,,"Public Instruction, Office of Superintendent of (OSPI)",
vm5h-z8fc,,,"Financial Management, Office of (OFM)",
bitb-x7s2,j2u5-4qpk,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
7q3x-bscm,,,"Public Instruction, Office of Superintendent of (OSPI)",
ehhi-9swb,,,Public Disclosure Commission (PDC),
q8ny-p8xq,,,"Public Instruction, Office of Superintendent of (OSPI)",
k46y-3nku,,,"Public Instruction, Office of Superintendent of (OSPI)",
8pn9-ycja,,,"Public Instruction, Office of Superintendent of (OSPI)",
kju7-vpn3,,,"Public Instruction, Office of Superintendent of (OSPI)",
mgjw-k497,,,"Public Instruction, Office of Superintendent of (OSPI)",
wcek-zrzx,,,Washington State Technology Solutions (CTS),
k3g4-bmwa,,,"Financial Management, Office of (OFM)",
kin6-zy4u,,,"Public Instruction, Office of Superintendent of (OSPI)",
6uuw-2acw,,,Other external user,
e544-2re8,,,"Financial Management, Office of (OFM)",
tun3-9kwp,,,"Ecology, Department of (ECY)",
vf29-f6kk,,,"Public Instruction, Office of Superintendent of (OSPI)",
rwxh-pdmu,,,"Public Instruction, Office of Superintendent of (OSPI)",
ei8g-rmhw,,,"Public Instruction, Office of Superintendent of (OSPI)",
cbs4-kgh9,,,"Public Instruction, Office of Superintendent of (OSPI)",
i22a-pr9n,,,"Public Instruction, Office of Superintendent of (OSPI)",
9s99-6pgr,,,"Public Instruction, Office of Superintendent of (OSPI)",
bcmk-227s,,,"Public Instruction, Office of Superintendent of (OSPI)",
igwd-efgv,,,"Public Instruction, Office of Superintendent of (OSPI)",
4xp9-2sih,,,"Labor & Industries, Department of (LNI)",
n6tk-ib3w,,,"Public Instruction, Office of Superintendent of (OSPI)",
u58p-k37p,,,"Public Instruction, Office of Superintendent of (OSPI)",
vwcj-x5xf,,,"Financial Management, Office of (OFM)",
mwnz-h2r3,,,"Salmon Recovery Office, Governor's (GSRO)",
jwdh-cp9q,,,"Ecology, Department of (ECY)",
bq8r-kp7m,,,Public Disclosure Commission (PDC),
k8b7-4yym,,,"Public Instruction, Office of Superintendent of (OSPI)",
svvh-ung9,,,Timberland Regional Library,
6a6d-abwe,,,"Public Instruction, Office of Superintendent of (OSPI)",
j5p6-ni4p,,,"Public Instruction, Office of Superintendent of (OSPI)",
hds3-ztv2,,,"Public Instruction, Office of Superintendent of (OSPI)",
f4my-f7t7,,,"Public Instruction, Office of Superintendent of (OSPI)",
2bpn-4v8c,,,"Public Instruction, Office of Superintendent of (OSPI)",
q3jj-g52q,,,"Public Instruction, Office of Superintendent of (OSPI)",
pvpn-rmhs,,,"Public Instruction, Office of Superintendent of (OSPI)",
3eve-gjd8,,,"Licensing, Department of (DOL)",
xt3p-zzth,,,"Public Instruction, Office of Superintendent of (OSPI)",
4rb6-7p2x,,,"Children, Youth, and Families, Department of (DCYF)",
ba9q-ai9q,,,"Public Instruction, Office of Superintendent of (OSPI)",
jami-2mce,,,"Enterprise Services, Department of (DES)",
c4jz-8nzb,,,Public Disclosure Commission (PDC),
qqnh-ynuk,,,"Public Instruction, Office of Superintendent of (OSPI)",
u5zk-p25g,,,"Public Instruction, Office of Superintendent of (OSPI)",
5qsb-ymd9,,,"Children, Youth, and Families, Department of (DCYF)",
k23s-9hyv,,,Asotin County Library,
vqbg-n6ar,,,"Licensing, Department of (DOL)",
ii5i-by93,,,"Public Instruction, Office of Superintendent of (OSPI)",
d2ks-afhz,,,"Fish and Wildlife, Department of (DFW)",
p3ri-q2av,,,"Public Instruction, Office of Superintendent of (OSPI)",
9xhc-fm6s,,,Washington State Technology Solutions (CTS),
94cc-y6q8,,,"Public Instruction, Office of Superintendent of (OSPI)",
6b3j-dhtd,,,"Public Instruction, Office of Superintendent of (OSPI)",
3xbm-8xyc,,,Washington State Technology Solutions (CTS),
bq95-2zgv,,,"Public Instruction, Office of Superintendent of (OSPI)",
jhdj-yhcd,,,"Public Instruction, Office of Superintendent of (OSPI)",
4fgf-99ma,,,Other external user,
xdbi-32eh,,,"Financial Management, Office of (OFM)",
un2j-s5y5,,,"Public Instruction, Office of Superintendent of (OSPI)",
si6m-4eqc,,,"Salmon Recovery Office, Governor's (GSRO)",
2e3b-dskj,3p3u-qc84,dataset,"Ecology, Department of (ECY)",Other external user
pt3u-k9gs,cqra-s74n,dataset,"Financial Management, Office of (OFM)","Fish and Wildlife, Department of (DFW)"
pwgq-yf65,,,"Public Instruction, Office of Superintendent of (OSPI)",
hfi4-8gfu,,,"Health, Department of (DOH)",
kdhm-t6yp,,,"Health, Department of (DOH)",
e498-sppz,,,"Public Instruction, Office of Superintendent of (OSPI)",
pcr7-459c,,,"Public Instruction, Office of Superintendent of (OSPI)",
4hbs-jeri,,,Other external user,
adxt-ewux,,,Other external user,
fvex-czys,,,"Public Instruction, Office of Superintendent of (OSPI)",
aw8j-7qyw,,,"Public Instruction, Office of Superintendent of (OSPI)",
4z7g-pnzr,,,"Labor & Industries, Department of (LNI)",
bnid-4maz,,,"Public Instruction, Office of Superintendent of (OSPI)",
i2iv-m3ih,,,Recreation and Conservation Office (RCO),
b9jg-54x6,,,"Public Instruction, Office of Superintendent of (OSPI)",
ja5y-9748,,,"Enterprise Services, Department of (DES)",
mq3d-ccdn,,,Recreation and Conservation Office (RCO),
k37g-4h7p,,,"Financial Management, Office of (OFM)",
jcbe-f4aj,,,"Ecology, Department of (ECY)",
8bxj-n7bb,,,Public Disclosure Commission (PDC),
8eg5-y8qy,,,"Public Instruction, Office of Superintendent of (OSPI)",
hnt2-6jpm,,,Washington Student Achievement Council (WSAC),
gyaj-5282,,,"Public Instruction, Office of Superintendent of (OSPI)",
gej4-f6xe,,,Washington State Technology Solutions (CTS),
bm59-93tz,,,Timberland Regional Library,
p4sv-js2m,,,"Public Instruction, Office of Superintendent of (OSPI)",
ws52-89wj,,,"Public Instruction, Office of Superintendent of (OSPI)",
fpbu-w4ay,,,"Enterprise Services, Department of (DES)",
c7kq-bkba,,,"Financial Management, Office of (OFM)",
hyej-zk3n,,,"Public Instruction, Office of Superintendent of (OSPI)",
gbgs-pce5,,,Asotin County Library,
9zp9-stpd,,,"Salmon Recovery Office, Governor's (GSRO)",
sf33-4t6u,,,"Public Instruction, Office of Superintendent of (OSPI)",
tbx2-cyr9,,,Asotin County Library,
s3hp-d5n9,,,"Public Instruction, Office of Superintendent of (OSPI)",
3ija-um2r,,,Asotin County Library,
j9dr-4w5q,,,"Public Instruction, Office of Superintendent of (OSPI)",
q8sv-nnx6,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
3gm2-rpw6,cgha-fszd,dataset,Asotin County Library,"Health, Department of (DOH)"
7w73-mtdf,,,"Public Instruction, Office of Superintendent of (OSPI)",
u2vg-x9fe,k67g-t283,dataset,Asotin County Library,Washington State Technology Solutions (CTS)
cv67-y4ye,,,"Public Instruction, Office of Superintendent of (OSPI)",
rq54-afav,,,"Licensing, Department of (DOL)",
s7dk-uw8g,,,"Public Instruction, Office of Superintendent of (OSPI)",
geqn-ia2p,,,Washington State Technology Solutions (CTS),
ijv4-psmc,,,"Public Instruction, Office of Superintendent of (OSPI)",
xfn3-aupk,,,"Financial Management, Office of (OFM)",
iv59-4kmz,,,"Financial Management, Office of (OFM)",
33ez-pryb,,,"Public Instruction, Office of Superintendent of (OSPI)",
wc6s-hiim,,,Washington State Technology Solutions (CTS),
rba6-edmi,,,"Public Instruction, Office of Superintendent of (OSPI)",
7ds2-ktq5,,,"Public Instruction, Office of Superintendent of (OSPI)",
u3me-8kjt,,,"Secretary of State, Office of the (SECSTATE)",
yu78-e98h,,,Asotin County Library,
a57z-zecw,,,Public Disclosure Commission (PDC),
gtye-wzep,,,"Public Instruction, Office of Superintendent of (OSPI)",
3gd8-x9fd,,,Asotin County Library,
w9n3-u8it,,,"Ecology, Department of (ECY)",
kwnu-g5w9,,,Asotin County Library,
5v7h-pych,,,"Public Instruction, Office of Superintendent of (OSPI)",
vfa6-xdwv,,,"Public Instruction, Office of Superintendent of (OSPI)",
a2s7-vjy6,,,"Public Instruction, Office of Superintendent of (OSPI)",
hzpe-bfaw,,,"Public Instruction, Office of Superintendent of (OSPI)",
bzf2-z6tv,,,"Public Instruction, Office of Superintendent of (OSPI)",
adjk-mi7x,,,"Enterprise Services, Department of (DES)",
8txw-63ay,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
qtbp-ak6n,,,"Public Instruction, Office of Superintendent of (OSPI)",
4nzd-w89w,,,"Public Instruction, Office of Superintendent of (OSPI)",
6fzp-xeku,,,"Public Instruction, Office of Superintendent of (OSPI)",
v5qv-ciww,,,"Public Instruction, Office of Superintendent of (OSPI)",
586c-rwcc,,,Other external user,
pfey-waqq,,,Asotin County Library,
qaq2-3hjs,,,"Public Instruction, Office of Superintendent of (OSPI)",
e3k6-5ngk,uie2-nw4g,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
ia83-urdz,,,"Public Instruction, Office of Superintendent of (OSPI)",
erbi-q9wc,,,"Public Instruction, Office of Superintendent of (OSPI)",
46st-mma6,,,"Public Instruction, Office of Superintendent of (OSPI)",
h6m7-5j9a,,,"Public Instruction, Office of Superintendent of (OSPI)",
k8rh-64ja,,,"Public Instruction, Office of Superintendent of (OSPI)",
jzd2-a3yt,,,"Public Instruction, Office of Superintendent of (OSPI)",
izcm-iw77,,,"Public Instruction, Office of Superintendent of (OSPI)",
q6nb-exh4,,,"Public Instruction, Office of Superintendent of (OSPI)",
7r8r-89cm,,,"Public Instruction, Office of Superintendent of (OSPI)",
ge4f-9yx4,,,Washington State Technology Solutions (CTS),
5bi9-h8my,,,"Public Instruction, Office of Superintendent of (OSPI)",
axee-zq8q,,,"Public Instruction, Office of Superintendent of (OSPI)",
hfyn-2ig9,,,"Licensing, Department of (DOL)",
8t59-ub7t,,,"Public Instruction, Office of Superintendent of (OSPI)",
vg8q-3gks,,,"Public Instruction, Office of Superintendent of (OSPI)",
bhad-z97b,,,"Public Instruction, Office of Superintendent of (OSPI)",
2b3v-yftm,,,"Public Instruction, Office of Superintendent of (OSPI)",
q3ms-37p6,,,"Public Instruction, Office of Superintendent of (OSPI)",
js2h-mget,4j29-snvr,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
7ncz-2sqa,,,"Public Instruction, Office of Superintendent of (OSPI)",
dbik-jctf,,,"Ecology, Department of (ECY)",
bgz9-qw3j,,,"Public Instruction, Office of Superintendent of (OSPI)",
nefr-q6y2,,,"Financial Management, Office of (OFM)",
84du-3zi8,,,"Public Instruction, Office of Superintendent of (OSPI)",
bubw-diyz,,,"Licensing, Department of (DOL)",
dsvn-jxbj,,,"Public Instruction, Office of Superintendent of (OSPI)",
nnim-y24v,,,"Public Instruction, Office of Superintendent of (OSPI)",
j9kn-329g,,,"Public Instruction, Office of Superintendent of (OSPI)",
tzpn-eqzt,,,"Public Instruction, Office of Superintendent of (OSPI)",
7gka-kazz,,,"Salmon Recovery Office, Governor's (GSRO)",
e9rc-gk78,,,"Public Instruction, Office of Superintendent of (OSPI)",
tn3x-gsc8,,,"Public Instruction, Office of Superintendent of (OSPI)",
f4qv-xkzj,,,"Public Instruction, Office of Superintendent of (OSPI)",
wady-xfxn,,,Other external user,
csd8-ydrg,,,"Public Instruction, Office of Superintendent of (OSPI)",
7gy6-aaie,,,"Public Instruction, Office of Superintendent of (OSPI)",
yvge-u5yx,,,Asotin County Library,
djsv-qqrh,,,Asotin County Library,
efhj-n2gf,,,"Public Instruction, Office of Superintendent of (OSPI)",
98jh-qfwy,,,"Ecology, Department of (ECY)",
e8xj-r7kr,,,Public Disclosure Commission (PDC),
